Policy,Tag,Net Support,Salience,Policy Text,Democratic Argument 1,Democratic Argument 2,Republican Argument 1,Republican Argument 2
Increase scope of practice for nurses,110,2,0.5,"Some Democrats in Congress have proposed expanding what nurse practitioners and advanced practice registered nurses (APRNs) are allowed to do in hospitals. Under this policy, states would be encouraged to grant nurse practitioners more authority to evaluate patients, diagnose conditions, interpret tests, and initiate treatment plans without doctor supervision.","Democrats support this policy because they say it would increase access to healthcare, particularly in rural and underserved areas where doctor shortages are most severe.","Democrats support this policy because they say that with health care costs on the rise, expanding the supply of medical professionals who can provide treatment is a common sense way to lower costs and expand access to care.","Republicans oppose this policy because they say Americans deserve the best possible medical care, and this policy will lead to untrained nurses providing poor or even harmful care to patients.","Republicans oppose this policy because they say nurses are not well trained enough to provide diagnoses without doctor supervision, and this policy risks hurting patients."
Raise taxes on companies that automate jobs with AI,149,2,0.5,"Some Democrats in Congress have proposed increasing taxes on companies that use Artificial Intelligence systems to automate American jobs. Under this policy, the revenue generated from these taxes would be used to pay for job retraining and provide financial compensation to affected workers.",Democrats support this policy because they say it will reduce growing income inequality and ensure that the benefits of artificial intelligence are shared broadly.,Democrats support this policy because they say workers displaced by artificial intelligence deserve a little extra support as they look for new jobs.,"Republicans oppose this policy because they say it will discourage investment in Artificial Intelligence technology, hurting the economy and costing jobs in the long run. 
","Republicans oppose this policy because they say raising taxes on businesses will hurt the economy, raise prices for consumers, and cost jobs."
Repeal TikTok ban,170,2,0.75,"Some Republicans in the Trump administration are proposing to repeal the law requiring TikTok to be sold to an American company by January 2025, or else the app would be banned in the United States. Under this policy, the Trump administration will remove the requirements that the app be sold, and allow TikTok to continue operating in the United States regardless of its ownership.","Democrats oppose this policy because they say the app poses a significant national security risk due to its ownership by China, with the app collecting vast amounts of personal data which could be exploited for espionage, particularly among young users.",Democrats oppose this policy because they say Americans should not be using any foreign technology that could pose a national security risk or distribute foreign propaganda.,"Republicans support this policy because they say it should be up to Americans on what technology they choose to use, and the U.S. should not be interfering with private digital platforms.","Republicans support this policy because they say a TikTok ban would infringe on free speech and individual rights, setting a precedent for government overreach into private digital platforms and opening the door to further censorship."
Free preschool (means-tested),83,1,0.5,"Some Democrats in Congress have proposed spending $40 billion dollars a year to create a free preschool program for some 3 and 4 year old American children. Under this proposal, the government would partner with state and local governments to create a free preschool program for American children from families earning less than $75,000 a year.
 
",Democrats support this policy because they say early education boosts our economy by giving children a strong foundation for success while allowing more parents to participate in the workforce.,Democrats support this policy because they say it's an investment in America's future that will lower costs for families and pay dividends through improved educational outcomes and economic opportunity.,Republicans oppose this policy because they say we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.,"Republicans oppose this policy because they say spending tens of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs."
Increase antitrust enforcement,97,1,0.75,"Some Democrats in Congress have proposed enhancing the government's ability to prevent monopolistic behavior and promote competition. Under this policy, regulators would receive more resources and authority to investigate and challenge anti-competitive practices, especially in the technology sector.","Democrats support this policy because they say a handful of giant corporations have too much power over our economy and daily lives, stifling innovation and harming consumers through higher prices.",Democrats support this policy because they say the government should ensure fair competition that benefits consumers and gives small businesses a chance to succeed.,Republicans oppose this policy because they say this would give unelected bureaucrats unprecedented power to interfere with American businesses based on political agendas rather than consumer harm.,Republicans oppose this policy because they say the government should focus on removing barriers to new competitors entering markets rather than attacking successful companies.
Increase Title 1 funding for low-income public schools,116,1,0.5,"Some Democrats in Congress have proposed spending $10 billion a year to increase funding for public schools and other educational institutions that help low-income children. Under this bill, the government would increase support for low-income schools and educational programs from $15 billion to $25 billion. 
","Democrats support this policy because they say that every child deserves to have the resources they need to get a good education, regardless of their income or family background.","Democrats support this policy because they say it creates more equal opportunity for all children regardless of their zip code, and that it will pay for itself through increased economic growth.",Republicans oppose this policy because they say federal education spending has consistently increased for decades without improving educational outcomes.,"Republicans oppose this policy because they say education decisions should be made locally, not by Washington bureaucrats distributing taxpayer money."
Shut down DOGE,184,1,0.25,"Some Democrats in Congress have proposed shutting down ""DOGE,"" also known as the Department of Government Efficiency. DOGE is a recently established government agency overseen by Elon Musk. Under this bill, DOGE would be shut down, and would no longer be authorized to make changes to government spending, hiring, or regulations.",Democrats support this policy because they say DOGE operates without proper oversight or transparency and gives unelected officials too much power to make decisions that should be made by Congress.,"Democrats support this policy because they say DOGE is threatening essential programs that millions of Americans rely on, like Medicaid, Medicare, and Social Security.",Republicans oppose this policy because they say it would protect wasteful government bureaucracy from much-needed reform and stop efforts to make government work more efficiently for taxpayers.,Republicans oppose this policy because they say we are trillions of dollars in debt and we need efforts like DOGE to cut wasteful spending and balance our budget.
Provide additional tax credits for clean energy investment,145,0,0.75,"Some Democrats in Congress have proposed providing $35 billion a year in tax credits to companies investing in clean energy. Under this policy, the government would provide incentives to businesses to build solar panels, wind turbines, and other renewable energy technologies.",Democrats support this policy because they say it will create good-paying American jobs in the clean energy sector while reducing carbon emissions and combating climate change.,"Democrats support this policy because they say that with inflation on the rise, we need to increase energy production in order to lower electricity bills for American families.",Republicans oppose this policy because they say it wastes taxpayer money on unreliable energy sources that will raise electricity prices for American families and businesses.,Republicans oppose this policy because they say we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.
Reduce vehicle emissions standards,159,0,0.5,Some Republicans in the Trump administration are proposing to loosen limits on vehicle emissions and fuel efficiency. Under this policy the Trump administration will reduce requirements for how clean car exhaust must be and how far cars must go on a gallon of gas.,Democrats oppose this policy because they say it would increase air pollution and force consumers to spend more on gas while making climate change worse.,Democrats oppose this policy because they say it threatens public health and environmental protection.,Republicans support this policy because they say we need common sense rules that protect consumer freedom.,Republicans support this policy because they say current standards make vehicles too expensive and limit consumer choice in what cars they can buy.
Ban transgender people from the military,20,-2,0.75,"Some Republicans in the Trump administration are proposing to ban transgender people from serving openly in the military. Under this policy, the Trump administration will ban any trans person from trying to enlist in the military and ban already enlisted troops from receiving gender-affirming care while in the military.",Democrats oppose this policy because they say that it discriminates against transgender Americans and denies them necessary medical care.,Democrats oppose this policy because they say that banning trans people from serving openly in the military is a violation of their civil rights and fails to recognize that they can serve the military as effectively as their peers.,Republicans support this policy because they say it will undermine military readiness and efficacy.,Republicans support this policy because allowing trans people to serve openly may undermine military readiness and cohesion because of the specific medical and psychological needs associated with gender transition.
Create a path to citizenship for some qualifying undocumented immigrants,34,-2,1,"Some Democrats in Congress have proposed providing legal status and a path to citizenship for undocumented immigrants living in the United States. Under this policy, immigrants who are here illegally would be allowed to apply for citizenship after 8 years if they pass criminal background checks, pay their taxes, and pass the citizenship exam.",Democrats support this policy because they say it would keep families together while bringing millions of undocumented immigrants out of the shadows to fully participate in society.,Democrats support this policy because they say we are a nation of immigrants that should welcome those seeking a better life.,Republicans oppose this bill because they say we shouldn't be rewarding illegal immigration with citizenship when we already have too many people crossing the border illegally.,Republicans oppose this bill because they say we must secure the border before considering giving anyone citizenship.
End DACA,62,-2,0.75,"Some Republicans in the Trump administration are proposing to end the Deferred Action for Childhood Arrivals (DACA) program. Under this policy, the Trump administration would rescind work permits and residency protections for undocumented immigrants who were brought to the United States as children by their parents.","Democrats oppose this policy because they say we should ensure that our treatment of immigrants is humane and constitutional, regardless of their immigration status.",Democrats oppose this policy because they say deporting DACA-recipients would uproot the lives of people who have built their lives and contributed to the U.S. since childhood and harm many industries that would lose these skilled workers.,"Republicans support this policy because they say it would reduce the incentive for immigrants to come to the U.S. illegally, decreasing unlawful immigration and protecting good-paying jobs for American citizens.",Republicans support this policy because they say it is necessary to make sure the U.S. controls its borders and protects American citizens' jobs.
Free public college tuition (means-tested),85,-2,0.5,"Some Democrats in Congress have proposed spending $65 billion dollars a year to make public college tuition free for some students. Under this bill, any American student who is accepted into a public college or university and whose parents make less than $125,000 a year would be allowed to attend for free.  
","Democrats support this policy because they say higher education should be a right for all Americans, not a privilege for the wealthy, and this policy would boost economic mobility and productivity nationwide.","Democrats support this policy because they say it recognizes education is essential for competing in the global economy and should be accessible to everyone, regardless of family income.","Republicans oppose this policy because they say we shouldn't force taxpayers, including those who didn't attend college, to pay tens of billions of dollars to pay for other people's choice to go to college.",Republicans oppose this policy because they say we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.
"Repeal the Hyde amendment, which prohibits providing public funding for abortion procedures",167,-3,0.25,"Some Democrats in Congress have proposed repealing a law that prevents government funds from being used to pay for abortions. Under this bill, low income women would no longer be prohibited from paying for abortions with money provided by the government through the Medicaid insurance program.",Democrats support this policy because they say poor women deserve the same reproductive healthcare access as those who can afford to pay.,"Democrats support this policy because they say every woman deserves access to the reproductive care they need, regardless of their income.",Republicans oppose this bill because they say it's not right for taxpayers who oppose abortion to be forced to have their tax dollars go to abortion services.,"Republicans oppose this bill because they say regardless of whether you think abortion should be legal, it's not the government's role to be subsidizing abortions."
Rescind regulations that prohibit discrimination on the basis of gender or sexual orientation,179,-3,0.75,"Some Republicans in the Trump administration are proposing to rescind regulations prohibiting discrimination on the basis of sexual orientation, gender identity, transgender status, and sex characteristics. Under this policy, the Trump administration will remove these characteristics as protected classes under federal law.","Democrats oppose this policy because they say policies legally preventing discrimination are essential to ensure equal economic opportunities and freedoms for all individuals, including LGBTQ+ people.",Democrats oppose this policy because they say it would lead to discrimination and unequal treatment of LGBTQ people.,Republicans support this policy because they say that it defends religious freedoms and ensures individuals and organizations can practice their faith without government interference or overreach.,"Republicans support this policy because they say it protects personal freedom, rolls back federal government overreach, and protects parents' rights."
Free child care (means-tested),81,-4,0.75,"Some Democrats in Congress have proposed spending $30 billion a year to make child care free for some American families. Under this bill, Americans earning less than $50,000 with children between the age of 0 and 3 would have their child care costs paid for by the federal government.",Democrats support this policy because they say that child care is unaffordable for far too many Americans. They say that this bill will ensure every family can afford daycare for their children.,Democrats support this policy because they say it will lower costs for working families while ensuring children receive quality care during their most critical developmental years.,Republicans oppose this policy because they say we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.,"Republicans oppose this policy because they say spending tens of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs."
Medicare for Kids,128,-4,0.5,"Some Democrats in Congress have proposed spending $325 billion a year to expand the Medicare program to cover children. Under this bill, all Americans currently under the age of 18 would be provided with free health insurance through the Medicare health insurance program, and all newly born American children would be enrolled as well. 
","Democrats support this policy because they say that working families deserve help paying for their kids health insurance, particularly with costs on the rise.",Democrats support this policy because they say healthcare is a right that should be available to all children regardless of their parents' employment or financial status.,Republicans oppose this policy because they say we shouldn't be spending hundreds of billions of dollars on new programs with inflation and the national debt already too high.,"Republicans oppose this policy because they say spending tens of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs."
Retake control of the Panama Canal,182,-4,0.25,Some Republicans in the Trump administration are proposing to seek to retake control of the Panama Canal from Panama. Under this policy the Trump administration will demand full US control of the canal and may use military force if demands are not met.,Democrats oppose this policy because they say it would violate international treaties break trust with Latin American allies and potentially trigger armed conflict.,"Democrats oppose this policy because they say it sets a dangerous precedent, suggesting to other countries that they could take over other territories if they wanted to.",Republicans support this policy because they say we must protect American economic interests.,Republicans support this policy because they say Panama is overcharging American ships and potentially allowing Chinese influence over this vital shipping route.
Ban books with LGBTQ themes from public school libraries,11,-6,0.75,"Some Republicans in Congress are proposing a bill that would remove books with themes about lesbian, gay, or transgender people from public school libraries. Under this bill, schools would not be allowed to have books in their libraries that discuss questions of gender identity or sexuality.",Democrats support this policy because they say banning books is a violation of freedom of speech. Ideas should be allowed to be heard – school administrators shouldn’t ban books just because they disagree with them.,"Democrats support this policy because they say LGBTQ+ issues are important, and they should be taught about in schools. Banning books will make it harder for kids to learn about these important topics.","Republicans support this policy because they say these ideas have no place in public schools. It should be up to parents, not the government, to decide how to teach their young kids about these issues.",Republicans support these policies because they say these ideas about gender and sexuality are being communicated to kids far too young to understand. We need to ensure that kids are being taught age-appropriate material.
Comprehensive immigration reform,26,-6,1,"Some Democrats in Congress have proposed comprehensively reforming America's immigration system by combining a path to citizenship for undocumented immigrants with increased border security. Under this policy, undocumented immigrants in the United States would be allowed to become citizens after several years, and additional money would be spent on securing the border.",Democrats support this policy because they say it offers a balanced approach that secures our borders while ensuring immigrants who are already here are treated fairly.,"Democrats support this policy because they say this is a common sense solution that allows undocumented immigrants already here to fully participate in our economy and society, while securing our border.",Republicans oppose this bill because they say we shouldn't be giving citizenship to illegal immigrants when illegal immigration is already far too high.,Republicans oppose this bill because they say we need to secure our border and focus on helping American citizens before we think about giving illegal immigrants citizenship.
"Criminal justice reform (reduce mandatory minimums for non-violent drug offenses, allow those who have served 10+ years in prison to petition for release, provide additional support for prisoner re-entry)",37,-6,0.5,"Some Democrats in Congress have proposed a bill to reform the criminal justice system. Under this policy mandatory minimum sentences for nonviolent drug offenders would be cut, people who have been in prison for more than 10 years would be allowed to petition for release, and additional resources would be provided for prisoners to re-enter society.",Democrats support this policy because they say it would reduce mass incarceration while helping former inmates rebuild productive lives.,Democrats support this policy because they say it will give second chances to those who have served their time and help reduce racial disparities in sentencing.,Republicans oppose this bill because they say lighter sentences and easier release will increase crime and make our communities less safe.,"Republicans oppose this bill because they say that with crime on the rise, now is not the time to be more lenient toward criminals."
Eliminate the Department of Education,59,-6,0.75,"Some Republicans in the Trump administration are proposing to eliminate the Department of Education. Under this policy, the Trump administration would dismantle the Department of Education, transferring authority over educational standards, funding, and policies to state governments.","Democrats oppose this policy because they say the government should provide a baseline standard for education, so all Americans have a similar opportunity to succeed.",Democrats oppose this policy because they believe it would cut support for low-income students and increase inequality in education.,"Republicans support this policy because they say that eliminating the Department of Education would return control of education to local communities, increasing accountability in schools.",Republicans support this policy because they say it would reduce federal spending and the deficit and restore control over education to states and local communities.
Lower the Medicare age to 60,122,-6,0.75,"Some Democrats in Congress have proposed spending $25 billion a year to lower the age at which Americans are eligible for the Medicare health insurance program from 65 to 60. Under this bill, Americans currently between 60 and 65 would be given access to Medicare, and going forward all Americans would become eligible for Medicare when they turn 60. 
",Democrats support this policy because they say it will provide affordable healthcare coverage to a vulnerable age group that often faces job discrimination and health issues but isn't yet eligible for retirement benefits.,Democrats support this policy because they say it will lower costs and help provide health care access to millions of Americans while strengthening the Medicare program.,Republicans oppose this policy because they we shouldn't be expanding Medicare when the program already faces financial challenges. They say this policy will accelerate Medicare's insolvency and lead to benefit cuts for current seniors.,Republicans oppose this policy because they say we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.
"Reduce environmental review for clean energy projects (for clean energy projects only, excludes fossil fuel projects)",155,-6,0.5,"Some Democrats in Congress have proposed reducing the regulations on new clean energy infrastructure projects. Under this policy, renewable energy projects would be subject to less strict environmental review.","Democrats support this policy because they say that with costs on the rise, we need to make it easier to build clean energy to increase energy supply and lower electricity prices.","Democrats support this policy because they say it creates a faster path to energy independence with clean, American-made power while creating good jobs.","Republicans oppose this policy because they say any changes to regulations should apply to all industries, and these changes should apply to fossil fuel projects as well.",Republicans oppose this policy because they say it ignores the needs of local communities that deserve to have a voice in whether or not these projects get built.
Repeal bank overdraft regulations,164,-6,0.5,"Some Republicans in the Trump administration are proposing to eliminate the $5 cap on bank overdraft fees. Under this policy, the Trump administration would repeal government rules that prohibit banks from charging more than $5 in fees to customers who withdraw more than their account balance.",Democrats oppose this policy because they say that with costs on the rise we shouldn't be eliminating rules that save hardworking Americans money and protect working people from big banks.,Democrats oppose this policy because they say it prioritizes bank profits over protecting vulnerable consumers from predatory financial practices.,"Republicans support this policy because they say it's not the governments role to interfere with the free market, and that this bill will reduce consumer choice in financial services.","Republicans support this policy because they say consumers should have the freedom to choose financial products without government intervention, and personal responsibility should be encouraged rather than government protection."
Require teachers to promote the nuclear family,178,-6,0.5,"Some Republicans in the Trump administration are proposing to promote the nuclear family. Under this policy, the Trump administration would include the promotion of education on a traditional family structure with husband, wife, and children, as part of the credentialing process for new teachers.","Democrats oppose this policy because they say promoting the nuclear family in schools marginalizes diverse families and overlooks the needs of students from single parent, blended, and non-traditional households.",Democrats oppose this policy because they say it will lead to discrimination against LGBTQ families and families with single parents.,"Republicans support this policy because they say promoting the nuclear family in schools reinforces traditional values, providing children with a stable and familiar family model.",Republicans support this policy because they say it would reinforce traditional values and provide a stable framework for a family model.
Withdraw the United States from the World Health Organization,190,-6,0.75,Some Republicans in the Trump administration are proposing to withdraw the United States from the World Health Organization. Under this policy the Trump administration will end US membership and funding for the WHO.,Democrats oppose this policy because they say leaving the WHO will weaken global disease surveillance and make it harder for America to fight future pandemics.,Democrats oppose this policy because they say it will weaken the country's ability to respond to future pandemics.,Republicans support this policy because they say we must put America's interests first.,Republicans support this policy because they say the WHO mishandled COVID-19 and American taxpayers shouldn't fund an organization that favors China's interests.
Partial student loan forgiveness (means-tested),132,-7,0.75,"Some Democrats in Congress have proposed spending $0.5 trillion to cancel up to $10,000 in student loan debt for Americans earning under $125,000. Under this policy, qualifying borrowers would receive partial loan forgiveness.",Democrats support this policy because they say it would provide relief to millions of hardworking Americans struggling with student debt.,Democrats support this policy because they say education is a right and no one should have to be burdened with debt to get a degree.,"Republicans oppose this bill because they say it would cost taxpayers far too much money, while being unfair to those who already paid off their loans.","Republicans oppose this bill because they say that with inflation already too high, we shouldn't be spending a trillion dollars to pay back loans that people took out voluntarily."
Reform the Electoral Count Act,160,-7,0.5,"Some Democrats in Congress, along with a significant number of Republicans, have proposed reforming the Electoral Count Act, which governs the certification of presidential elections. Under this policy, the rules for counting electoral votes would be clarified to prevent interference, and ensure that legitimate elections results cannot be overturned. The bill would also prevent states from changing their election laws after an election has already taken place.",Democrats support this policy because they say it would prevent attempts to overturn legitimate election results and protect democracy from partisan manipulation.,Democrats support this policy because they say voters and politicians from both parties agree that we need to prevent our elections from being tampered with.,Republicans oppose this bill because they say it would weaken important safeguards against election fraud and irregularities.,Republicans oppose this bill because they say states should maintain full control over their election processes.
Repeal the Infrastructure Investment and Jobs Act and the Inflation Reduction Act,168,-7,0.75,"Some Republicans in the Trump administration are proposing to repeal the Infrastructure Investment and Jobs Act (IIJA) and Inflation Reduction Act (IRA) – laws passed to rebuild infrastructure, cap costs of some prescription drugs, and promote clean energy production. Under this policy, the Trump administration would repeal the IIJA and IRA and rescind any unspent funds that were allocated as a part of both bills.","Democrats oppose this policy because they say repealing these laws would cut jobs for the working class and eliminate needed funding for infrastructure, energy research, and technology that will help grow our economy.",Democrats oppose this policy because they say it would increase costs on working and middle-class American families.,"Republicans support this policy because they say repealing these laws would limit wasteful and partisan government spending, reducing the federal deficit and allowing for funding to go to more needed government services.",Republicans support this policy because they say it would cut down on unnecessary government spending and reduce the burden on taxpayers.
Create a carbon tax and dividend,33,-8,0.5,"Some Democrats in Congress have proposed creating a new tax on carbon emissions that would start at $15 per ton and increase every year until emissions targets have been reached. Under this policy, tax revenue from the bill would fund dividends paid directly to each American, which would offset higher consumer costs for gas and electricity.","Democrats support this policy because they say that climate change is an urgent problem, and taxing carbon will result in lower emissions and less pollution.",Democrats support this policy because they say that the dividend will put money in the pockets of working people and benefit the American economy.,Republicans oppose this bill because they say it would raise energy costs and hurt the economy by destroying thousands of jobs in fossil fuel industries.,Republicans oppose this bill because they say we shouldn't be raising the prices of gas and energy for working people when inflation is already too high.
Eliminate methane emission fees,52,-8,0.5,"Some Republicans in the Trump administration are proposing to reverse greenhouse gas regulations. Under this policy, the Trump administration would weaken or eliminate fees oil and gas companies currently have to pay for releasing methane into the atmosphere.","Democrats oppose this policy because they say reversing greenhouse gas regulations would harm Americans' health, increase pollution, and accelerate climate change.","Democrats oppose this policy because they say it will lead to more severe natural disasters and other negative impacts of climate change, putting Americans in harm's way.",Republicans support this policy because they say it will promote economic growth and freedom.,Republicans support this policy because they say a more flexible energy policy would reduce dependence on foreign energy sources and promote U.S. economic growth.
Increase SNAP benefits by 15%,111,-8,0.75,"Some Democrats in Congress have proposed spending $20 billion a year to incresae funding for the Supplemental Nutrition Assistance Program, also known as SNAP or ""food stamps,"" by 15%. This would increase the amount of finanical assistance that eligible low-income Americans receive each month to help them buy food.","Democrats support this policy because they say say that with the cost of living on the rise, low-income parents deserve some extra support to afford groceries for their families.","Democrats support this policy because they say no one in America should go hungry, especially children and working families trying to make ends meet.",Republicans oppose this policy because they say expanding welfare benefits without work requirements discourages employment and creates long-term dependency on government assistance.,"Republicans oppose this policy because they say spending tens of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs."
Ban fracking,14,-9,0.5,"Some Democrats in Congress have proposed banning “fracking” nationwide. Fracking is a technique used to extract oil and natural gas from underground. Under this policy, oil companies would no longer be allowed to use fracking to extract oil and natural gas from the ground within the United States.","Democrats support this policy because they say banning fracking will lead to cleaner air, cleaner water, and lower carbon emissions.",Democrats support this policy because they say we must take action to protect our environment and transition away from fossil fuels.,Republicans oppose this bill because they say it would eliminate thousands of good-paying energy jobs and make America more dependent on foreign oil.,Republicans oppose this bill because they say we shouldn't be restricting energy production when gas prices and inflation are already too high.
Phase out Title 1 funding for low income school districts,133,-9,0.5,"Some Republicans in the Trump administration are proposing to phase out Title I funding for low-income school districts. Under this policy, the Trump administration would reduce Title I funding and allocate funding to states as block grants, giving states full discretion over how to distribute resources to local school districts.","Democrats oppose this policy because they say Title I funding is crucial for providing resources to low-income students and schools, ensuring everyone has access to good education.",Democrats oppose this policy because they believe it would cut support for low-income students and increase inequality in education.,Republicans support this policy because they say phasing out Title I funding in education would reduce federal spending and prevent funding from going disproportionately to big-city public schools.,Republicans support this policy because they say it would reduce federal spending and the deficit and restore control over education to states and local communities.
Withdraw from the Paris Climate Agreement,189,-9,0.75,"Some Republicans in the Trump administration are proposing to withdraw from the Paris Agreement. Under this policy, the Trump administration will withdraw the U.S. from the international climate agreement and cease implementation of Paris Agreement policies, such as greenhouse gas emission caps and contributions to the Green Climate Fund.","Democrats oppose this policy because they say withdrawing from the Paris Agreement would worsen climate change and hinder efforts to update technology, allowing natural disasters to worsen and harm the livelihoods of Americans.","Democrats oppose this policy because they say it will lead to more severe natural disasters and other negative impacts of climate change, putting Americans in harm's way.","Republicans support this policy because they say withdrawing from the Paris Agreement would allow the U.S. to make its own decisions on climate policy rather than relying on other countries, promoting economic growth and freedom.",Republicans support this policy because they say it will promote economic growth and freedom.
Cut Medicaid,39,-10,0.5,"Some Republicans in the Trump administration are proposing to make cuts to the Medicaid program over the next ten years. Under this policy, the Trump administration will reduce federal Medicaid funding by imposing new work requirements and shifting costs to states.",Democrats oppose this policy because they say it breaks Trump's campaign promise not to cut Medicaid.,Democrats oppose this policy because they say it would force states to slash healthcare coverage for millions of working families and seniors in nursing homes who depend on Medicaid.,Republicans support this policy because they say imposing work requirements and giving states more control will save $100 billion while preserving benefits for those truly in need.,Republicans support this policy because they say we need to reform wasteful government spending.
Cut the corporate tax rate to 18%,43,-10,0.5,"Some Republicans in the Trump administration are proposing to lower the corporate tax rate to 18%. Under this policy, the Trump administration would further cut the corporate tax rate from 21% to 18%, after a 2017 cut from 35% to 21% in Trump's first term.",Democrats oppose this policy because they say that the wealthiest Americans and big corporations should pay their fair share in taxes like the rest of us.,"Democrats oppose this policy because they say companies should pay their fair share in taxes, and a lower corporate tax rate would only help the rich get richer and raise the federal deficit.",Republicans support this policy because they say it would promote economic growth and increase wages for workers.,"Republicans support this policy because they say a lower corporate tax rate would help boost the economy, leading to more jobs and higher wages for workers."
End fossil fuel production on public lands,64,-10,0.5,Some Democrats in Congress have proposed ending all fossil fuel production on public lands. Under this policy existing oil and gas projects on government-owned land would be canceled and no new drilling would be permitted on public lands.,Democrats support this policy because they say public lands should be preserved for recreation and wildlife not exploited by oil companies that contribute to climate change.,Democrats support this policy because they say we must take action to protect our environment and transition away from fossil fuels.,Republicans oppose this bill because they say it would eliminate thousands of good-paying energy jobs and make America more dependent on foreign oil.,Republicans oppose this bill because they say we shouldn't be restricting energy production when gas prices and inflation are already too high.
End the Senate filibuster,67,-10,0.5,"Some Democrats in Congress have proposed eliminating the 60-vote requirement to pass bills in the U.S. Senate. Under this policy, legislation could pass with a simple 51-vote majority instead of the current 60-vote threshold.",Democrats support this policy because they say the filibuster has become a tool of obstruction that prevents needed reforms and majority rule.,"Democrats support this policy because they say it will make it easier to pass important legislation, such as improvements to voting rights.",Republicans oppose this bill because they say it would eliminate crucial checks and balances and enable radical changes.,Republicans oppose this bill because they say we need safeguards against narrow partisan majorities that try to pass legislation that is out of step with what Americans want.
Give DOGE access to Social Security data,91,-10,0.25,"Some Republicans in the Trump administration are proposing to grant technology consultants access to Social Security Administration data. Under this policy, the Trump administration will allow DOGE engineers to analyze personal information in government databases to identify potential fraud.",Democrats oppose this policy because they say giving private tech companies access to Americans' sensitive personal and financial data creates huge privacy and security risks.,Democrats oppose this policy because they say the government can't be trusted to protect people's private information.,Republicans support this policy because they say using advanced data analysis will help eliminate billions in waste and fraud in government benefit programs.,Republicans support this policy because they say we need to crack down on government waste and abuse.
Shut down the CFPB,185,-10,0.5,"Some Republicans in the Trump administration are proposing to eliminate the Consumer Financial Protection Bureau (CFPB). The CFPB is a government agency founded in 2011 whose goal is to protect consumers in the financial marketplace. Under this proposal, the CFPB would be eliminated.","Democrats oppose this policy because they say the CFPB has returned over $13 billion to consumers harmed by predatory financial practices and provides essential oversight of banks, payday lenders, and credit card companies.","Democrats oppose this policy because they say it would make everyday Americans more vulnerable to financial scams, hidden fees, and abusive lending practices with no dedicated watchdog to protect them.","Republicans support this policy because they say the CFPB represents an unaccountable bureaucracy with excessive power that imposes burdensome regulations on financial institutions, limiting consumer choice and increasing costs.",Republicans support this policy because they say government overregulation stifles innovation in financial services and restricts access to credit for hardworking Americans.
Eliminate programs to reduce pollution in low-income areas,54,-11,0.25,Some Republicans in the Trump administration are proposing to eliminate environmental justice initiatives across federal agencies. Under this policy the Trump administration will end programs focused on reducing pollution in disadvantaged communities.,Democrats oppose this policy because they say it would leave vulnerable communities exposed to dangerous pollution and deny them equal environmental protection.,Democrats oppose this policy because they say it abandons communities that need help most.,Republicans support this policy because they say we need to reduce wasteful government programs.,Republicans support this policy because they say these programs create unnecessary red tape and restrictions that block economic development in struggling areas.
Equalize public school funding nationally,68,-11,0.5,"Some Democrats in Congress have proposed equalizing public school funding nationwide. Under this policy, property taxes would go to the federal government for equal distribution to all schools, regardless of the amount of taxes paid by each local city or town.",Democrats support this policy because they say every child deserves equal educational resources regardless of where they're from.,Democrats support this policy because they say equalizing school funding will improve educational outcomes for lower performing schools and students.,Republicans oppose this bill because they say we shouldn't be removing local control and punishing communities that invest in their schools.,"Republicans oppose this bill because they say school funding should be handled at the local level, not determined by the federal government."
