Policy,Coding,Bipartisan,Tag,Topic,Net Support,Democratic Position Support,Republican Position Support,Normie Position,Position Support,Opposition Support,Salience,Policy Text,Democratic Argument 1,Democratic Argument 2,Republican Argument 1,Republican Argument 2,Supporter Argument 1,Supporter Argument 2,Opponent Argument 1,Opponent Argument 2,Net Support (%),Democratic Position Support (%),Republican Position Support (%),Normie Position (%),Position Support (%),Opposition Support (%)
Eliminate taxes on tips,Republican,,58,,18,40,59,59,59,40,1,"Some Republicans in the Trump administration are proposing to exclude tips from federal taxes. Under this policy, the Trump administration will eliminate federal taxes on workers' tips.","taxes help fund essential government services like Social Security and Medicare, and wealthy people and businesses would use this as a loophole to avoid paying taxes.",it would limit essential government services and increase the federal deficit.,it would increase wages for workers.,it would boost workers' income and help close the wage gap in service industries.,it would increase wages for workers.,it would boost workers' income and help close the wage gap in service industries.,"taxes help fund essential government services like Social Security and Medicare, and wealthy people and businesses would use this as a loophole to avoid paying taxes.",it would limit essential government services and increase the federal deficit.,18.20%,40.90%,59.10%,59.10%,59.10%,40.90%
Exclude overtime pay from federal taxes,Republican,,69,,6,46,53,53,53,46,0.75,"Some Republicans in the Trump administration are proposing to exclude overtime pay from federal taxes. Under this policy, the Trump administration will eliminate federal taxes on overtime pay.","taxes help fund essential government services like Social Security and Medicare, and wealthy people and businesses would use this as a loophole to avoid paying taxes.",it would limit essential government services and increase the federal deficit.,it would increase wages for workers.,it would incentivize employers to pay workers fairly for extra hours worked and increase take-home pay for workers.,it would increase wages for workers.,it would incentivize employers to pay workers fairly for extra hours worked and increase take-home pay for workers.,"taxes help fund essential government services like Social Security and Medicare, and wealthy people and businesses would use this as a loophole to avoid paying taxes.",it would limit essential government services and increase the federal deficit.,6.40%,46.80%,53.20%,53.20%,53.20%,46.80%
Shut down the CFPB,Republican,,185,,-10,55,44,55,44,55,0.5,"Some Republicans in the Trump administration are proposing to eliminate the Consumer Financial Protection Bureau (CFPB). The CFPB is a government agency founded in 2011 whose goal is to protect consumers in the financial marketplace. Under this proposal, the CFPB would be eliminated.","the CFPB has returned over $13 billion to consumers harmed by predatory financial practices and provides essential oversight of banks, payday lenders, and credit card companies.","it would make everyday Americans more vulnerable to financial scams, hidden fees, and abusive lending practices with no dedicated watchdog to protect them.","the CFPB represents an unaccountable bureaucracy with excessive power that imposes burdensome regulations on financial institutions, limiting consumer choice and increasing costs.",government overregulation stifles innovation in financial services and restricts access to credit for hardworking Americans.,"the CFPB represents an unaccountable bureaucracy with excessive power that imposes burdensome regulations on financial institutions, limiting consumer choice and increasing costs.",government overregulation stifles innovation in financial services and restricts access to credit for hardworking Americans.,"the CFPB has returned over $13 billion to consumers harmed by predatory financial practices and provides essential oversight of banks, payday lenders, and credit card companies.","it would make everyday Americans more vulnerable to financial scams, hidden fees, and abusive lending practices with no dedicated watchdog to protect them.",-10.40%,55.20%,44.80%,55.20%,44.80%,55.20%
Reorganize the Health and Human Services Department,Republican,,163,,-5,52,47,52,47,52,0.25,"Some Republicans in the Trump administration are proposing to reorganize the Department of Health and Human Services (HHS). Under this policy, the Trump administration would replace all of the employees of certain HHS departments like the National Institute of Health and entirely eliminate others like the nutrition department.","it would undermine critical public health and social services, disproportionately harming vulnerable populations.","it would remove experts from the government, who provide critical services and keep citizens informed and safe.","it would streamline the HHS, cut red tape, and reduce government spending.",it would cut down on unnecessary government spending and reduce the burden on taxpayers.,"it would streamline the HHS, cut red tape, and reduce government spending.",it would cut down on unnecessary government spending and reduce the burden on taxpayers.,"it would undermine critical public health and social services, disproportionately harming vulnerable populations.","it would remove experts from the government, who provide critical services and keep citizens informed and safe.",-5.80%,52.90%,47.10%,52.90%,47.10%,52.90%
Pardon January 6th participants,Republican,,131,,-18,59,40,59,40,59,1,"Some Republicans in the Trump administration are proposing to pardon January 6th participants. Under this policy, the Trump administration would pardon around 1400 people who were charged in connection with the January 6, 2021 attack on the Capitol.","it would send the message that a President can decide who is above the law, undermining our legal system.","it would send a dangerous message that violent insurrection is acceptable, undermining our legal system and weakening the democratic institutions that the U.S. was built upon.",it would promote the national healing and reconciliation that the U.S. needs in order to move forward.,it would help unite the country and provide justice to citizens who were politically persecuted by Democrats.,it would promote the national healing and reconciliation that the U.S. needs in order to move forward.,it would help unite the country and provide justice to citizens who were politically persecuted by Democrats.,"it would send the message that a President can decide who is above the law, undermining our legal system.","it would send a dangerous message that violent insurrection is acceptable, undermining our legal system and weakening the democratic institutions that the U.S. was built upon.",-18.80%,59.40%,40.60%,59.40%,40.60%,59.40%
Increase funding for Head Start,Democratic,,102,,13,56,43,56,56,43,0.5,"Some Democrats in Congress have proposed spending $3 billion a year to increase funding for ""Head Start."" Head Start is a program that provides comprehensive early childhood education, health, and nutrition services to low-income children and their families. Under this policy, funding for Head Start would be increased from $12 billion a year to $15 billion a year.",early education boosts our economy by giving children a strong foundation for success while allowing more parents to participate in the workforce.,it's an investment in America's future that will lower costs for families and pay dividends through improved educational outcomes and economic opportunity.,we shouldn't be spending billions of dollars on new programs with inflation and the national debt already too high.,"spending billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs.",early education boosts our economy by giving children a strong foundation for success while allowing more parents to participate in the workforce.,it's an investment in America's future that will lower costs for families and pay dividends through improved educational outcomes and economic opportunity.,we shouldn't be spending billions of dollars on new programs with inflation and the national debt already too high.,"spending billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs.",13.60%,56.80%,43.20%,56.80%,56.80%,43.20%
Free preschool (universal),Democratic,,84,,1,50,49,50,50,49,0.75,"Some Democrats in Congress have proposed spending $60 billion dollars a year to create a universal free preschool program for all 3 and 4 year old American children. Under this proposal, the government would partner with state and local governments to create a free preschool program for all American children, regardless of their parents income.
",early education boosts our economy by giving children a strong foundation for success while allowing more parents to participate in the workforce.,it's an investment in America's future that will lower costs for families and pay dividends through improved educational outcomes and economic opportunity.,we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.,"spending tens of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs.",early education boosts our economy by giving children a strong foundation for success while allowing more parents to participate in the workforce.,it's an investment in America's future that will lower costs for families and pay dividends through improved educational outcomes and economic opportunity.,we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.,"spending tens of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs.",1.80%,50.90%,49.10%,50.90%,50.90%,49.10%
Free preschool (means-tested),Democratic,,83,,1,50,49,50,50,49,0.5,"Some Democrats in Congress have proposed spending $40 billion dollars a year to create a free preschool program for some 3 and 4 year old American children. Under this proposal, the government would partner with state and local governments to create a free preschool program for American children from families earning less than $75,000 a year.
 
",early education boosts our economy by giving children a strong foundation for success while allowing more parents to participate in the workforce.,it's an investment in America's future that will lower costs for families and pay dividends through improved educational outcomes and economic opportunity.,we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.,"spending tens of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs.",early education boosts our economy by giving children a strong foundation for success while allowing more parents to participate in the workforce.,it's an investment in America's future that will lower costs for families and pay dividends through improved educational outcomes and economic opportunity.,we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.,"spending tens of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs.",1.40%,50.70%,49.30%,50.70%,50.70%,49.30%
Ban books with LGBTQ themes from public school libraries,Republican,,11,,-5,52,47,52,47,52,0.75,"Some Republicans in Congress are proposing a bill that would remove books with themes about lesbian, gay, or transgender people from public school libraries. Under this bill, schools would not be allowed to have books in their libraries that discuss questions of gender identity or sexuality.",banning books is a violation of freedom of speech. Ideas should be allowed to be heard – school administrators shouldn’t ban books just because they disagree with them.,"LGBTQ+ issues are important, and they should be taught about in schools. Banning books will make it harder for kids to learn about these important topics.","these ideas have no place in public schools. It should be up to parents, not the government, to decide how to teach their young kids about these issues.",these ideas about gender and sexuality are being communicated to kids far too young to understand. We need to ensure that kids are being taught age-appropriate material.,"these ideas have no place in public schools. It should be up to parents, not the government, to decide how to teach their young kids about these issues.",these ideas about gender and sexuality are being communicated to kids far too young to understand. We need to ensure that kids are being taught age-appropriate material.,banning books is a violation of freedom of speech. Ideas should be allowed to be heard – school administrators shouldn’t ban books just because they disagree with them.,"LGBTQ+ issues are important, and they should be taught about in schools. Banning books will make it harder for kids to learn about these important topics.",-5.60%,52.80%,47.20%,52.80%,47.20%,52.80%
Eliminate tax exempt status for non-profits that offer race-based grants,Republican,,56,,2,48,51,51,51,48,0.5,"Some Republicans in the Trump administration have proposed eliminating tax-exempt status for any non-profit organizations that offer benefits that are only available to specific demographic groups. Under this policy, non-profits that offer benefits and programs that only people of certain races are eligible for would be required to pay taxes.","this is a political attack on programs that help level the playing field, and would unnecessarily punish groups for trying to expand access for people who've historically been excluded.","many non-profits are aimed at correcting deep, long-standing inequalities, and targeting them would harm efforts to support communities that have been discriminated against in the past.","this country was founded on the idea of equal rights, and non-profits shouldn't be allowed to discriminate against some Americans just because of their skin color.","in recent years, non-profits have engaged in reverse discrimination against white and Asian Americans, and that we need to go back to equality for all, regardless of skin color.","this country was founded on the idea of equal rights, and non-profits shouldn't be allowed to discriminate against some Americans just because of their skin color.","in recent years, non-profits have engaged in reverse discrimination against white and Asian Americans, and that we need to go back to equality for all, regardless of skin color.","this is a political attack on programs that help level the playing field, and would unnecessarily punish groups for trying to expand access for people who've historically been excluded.","many non-profits are aimed at correcting deep, long-standing inequalities, and targeting them would harm efforts to support communities that have been discriminated against in the past.",2.80%,48.60%,51.40%,51.40%,51.40%,48.60%
Increase deportations from Biden-era levels,Republican,,99,,12,44,56,56,56,44,1,"Some Republicans in the Trump administration are proposing to expand mass deportations. Under this policy, the Trump administration would intensify deportation efforts, reassigning federal agents to assist ICE in carrying out sweeping raids and creating detention camps to hold immigrants while their cases are being processed.","it will be ineffective at reducing illegal immigration, put migrants in danger, and we can create a secure and fair immigration system without these extreme measures.",mass deportations do not address the root cause of undocumented immigration and would tear apart communities.,that it will send a tough signal and encourage migrants to follow the law and get in line to enter the country legally.,it is necessary to make sure the U.S. controls its borders and protects American citizens' jobs against undocumented workers.,that it will send a tough signal and encourage migrants to follow the law and get in line to enter the country legally.,it is necessary to make sure the U.S. controls its borders and protects American citizens' jobs against undocumented workers.,"it will be ineffective at reducing illegal immigration, put migrants in danger, and we can create a secure and fair immigration system without these extreme measures.",mass deportations do not address the root cause of undocumented immigration and would tear apart communities.,12.00%,44.00%,56.00%,56.00%,56.00%,44.00%
Ban IVF,Republican,,16,,-36,68,31,68,31,68,1,Some Republicans in the Trump administration are proposing to ban in vitro fertilization (IVF) treatments nationwide. IVF is a medical procedure used to help individuals or couples conceive a child. Under this policy the Trump administration will prohibit medical facilities from providing IVF procedures.,it's not right to deny thousands of Americans struggling with infertility their best chance to have children.,"medical decisions should be between patients and their doctors, not politicians.",IVF results in the destruction of embryos which are human life.,government must protect life from the moment of conception.,IVF results in the destruction of embryos which are human life.,government must protect life from the moment of conception.,it's not right to deny thousands of Americans struggling with infertility their best chance to have children.,"medical decisions should be between patients and their doctors, not politicians.",-36.20%,68.10%,31.90%,68.10%,31.90%,68.10%
Increase SNAP benefits by 15%,Democratic,,111,,-7,46,53,53,46,53,0.75,"Some Democrats in Congress have proposed spending $20 billion a year to incresae funding for the Supplemental Nutrition Assistance Program, also known as SNAP or ""food stamps,"" by 15%. This would increase the amount of finanical assistance that eligible low-income Americans receive each month to help them buy food.","say that with the cost of living on the rise, low-income parents deserve some extra support to afford groceries for their families.","no one in America should go hungry, especially children and working families trying to make ends meet.",expanding welfare benefits without work requirements discourages employment and creates long-term dependency on government assistance.,"spending tens of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs.","say that with the cost of living on the rise, low-income parents deserve some extra support to afford groceries for their families.","no one in America should go hungry, especially children and working families trying to make ends meet.",expanding welfare benefits without work requirements discourages employment and creates long-term dependency on government assistance.,"spending tens of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs.",-7.80%,46.10%,53.90%,53.90%,46.10%,53.90%
Raise the minimum wage to $12 an hour,Democratic,,151,,21,60,39,60,60,39,0.75,Some Democrats in Congress have proposed raising the federal minimum wage to $12 per hour over six years. Under this policy the minimum wage would gradually increase from the current $7.25 rate.,increasing the minimum wage will boost the economy by putting more money in workers' pockets to spend on goods and services.,"no one working full-time should live in poverty, and that this is a reasonable increase businesses can handle.",it would force small businesses to cut jobs and raise prices for consumers.,government mandates hurt businesses and hurt workers by killing entry-level jobs.,increasing the minimum wage will boost the economy by putting more money in workers' pockets to spend on goods and services.,"no one working full-time should live in poverty, and that this is a reasonable increase businesses can handle.",it would force small businesses to cut jobs and raise prices for consumers.,government mandates hurt businesses and hurt workers by killing entry-level jobs.,21.60%,60.80%,39.20%,60.80%,60.80%,39.20%
Raise the minimum wage to $15 an hour,Democratic,,152,,13,56,43,56,56,43,0.75,Some Democrats in Congress have proposed raising the federal minimum wage to $15 per hour over six years. Under this policy the minimum wage would gradually increase from the current $7.25 rate.,increasing the minimum wage will boost the economy by putting more money in workers' pockets to spend on goods and services.,"no one working full-time should live in poverty, and that this is a reasonable increase businesses can handle.",it would force small businesses to cut jobs and raise prices for consumers.,government mandates hurt businesses and hurt workers by killing entry-level jobs.,increasing the minimum wage will boost the economy by putting more money in workers' pockets to spend on goods and services.,"no one working full-time should live in poverty, and that this is a reasonable increase businesses can handle.",it would force small businesses to cut jobs and raise prices for consumers.,government mandates hurt businesses and hurt workers by killing entry-level jobs.,13.00%,56.50%,43.50%,56.50%,56.50%,43.50%
Expand mental health care programs for veterans,Democratic,T,73,,27,63,36,63,63,36,0.75,"Some members of Congress have proposed spending $5 billion a year to expand mental health care services for veterans. This funding would be used to hire additional mental health professionals at the Department of Veterans Affairs, increase access to counseling and therapy, and develop specialized programs to address issues such as post-traumatic stress disorder (PTSD) and substance abuse among veterans.","we have a sacred obligation to care for those who have served our country, and mental health challenges are among the most serious issues veterans face after deployment.","no veteran should suffer alone after sacrificing for our nation, and comprehensive mental healthcare is essential for their wellbeing.",we shouldn't be spending billions on unnecessary programs with inflation and the national debt already too high.,"spending billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs.","we have a sacred obligation to care for those who have served our country, and mental health challenges are among the most serious issues veterans face after deployment.","no veteran should suffer alone after sacrificing for our nation, and comprehensive mental healthcare is essential for their wellbeing.",we shouldn't be spending billions on unnecessary programs with inflation and the national debt already too high.,"spending billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs.",27.00%,63.50%,36.50%,63.50%,63.50%,36.50%
Ban entry from some Muslim-majority countries,Republican,,13,,11,44,55,55,55,44,0.5,"Some Republicans in the Trump administration are proposing to refuse asylum claims from certain Muslim-majority nations. Under this policy, the Trump administration would ban refugee resettlement from certain areas like Gaza and restrict entry into the U.S. by foreign nationals from some Muslim-majority countries.","we should ensure that our treatment of immigrants is humane and constitutional, regardless of their immigration status.","people who request asylum are doing so because they are unsafe in their home countries, and refusing asylum claims from Muslim-majority nations is racist and inhumane.",it is necessary to make sure the U.S. controls its borders and protects American citizens' jobs.,"certain countries are more dangerous than others, and we should prevent immigration from those countries in order to keep Americans safe.",it is necessary to make sure the U.S. controls its borders and protects American citizens' jobs.,"certain countries are more dangerous than others, and we should prevent immigration from those countries in order to keep Americans safe.","we should ensure that our treatment of immigrants is humane and constitutional, regardless of their immigration status.","people who request asylum are doing so because they are unsafe in their home countries, and refusing asylum claims from Muslim-majority nations is racist and inhumane.",11.20%,44.40%,55.60%,55.60%,55.60%,44.40%
Crack down on websites that allow minors to view pornography,Democratic,T,28,,34,67,32,67,67,32,0.75,"Some members of Congress have proposed preventing pornography companies from showing explicit content to minors. Under this policy, age verification would be required on pornographic websites and companies would face substantial fines if they fail to block access to those under 18.",our kids shouldn’t be exposed to pornography at such young ages. They say that internet porn is having a bad effect on today’s youth.,"pornography distorts young people's understanding of healthy relationships and sexuality, and children should be protected from explicit content.",that this will mean more unnecessary regulation and more government overreach into the free market,that the government should not be interfering with private businesses or with decisions that Americans make for themselves.,our kids shouldn’t be exposed to pornography at such young ages. They say that internet porn is having a bad effect on today’s youth.,"pornography distorts young people's understanding of healthy relationships and sexuality, and children should be protected from explicit content.",that this will mean more unnecessary regulation and more government overreach into the free market,that the government should not be interfering with private businesses or with decisions that Americans make for themselves.,34.40%,67.20%,32.80%,67.20%,67.20%,32.80%
Cut Social Security and Medicare to try to eliminate fraud,Republican,,41,,-22,61,39,61,39,61,0.5,"Some Republicans in the Trump administration are proposing to make cuts to Social Security and Medicare programs over the next ten years. Under this policy, the Trump administration will identify and eliminate what they describe as waste and fraud in these entitlement programs.",it breaks repeated promises not to touch Social Security and Medicare.,putting billionaire tech executives in charge of seniors' retirement security threatens benefits that Americans have earned over a lifetime of work.,using advanced data analysis will eliminate a trillion dollars in waste and fraud from bloated entitlement programs.,we need to save these programs from bankruptcy.,using advanced data analysis will eliminate a trillion dollars in waste and fraud from bloated entitlement programs.,we need to save these programs from bankruptcy.,it breaks repeated promises not to touch Social Security and Medicare.,putting billionaire tech executives in charge of seniors' retirement security threatens benefits that Americans have earned over a lifetime of work.,-22.00%,61.00%,39.00%,61.00%,39.00%,61.00%
"Create a $3,000 child allowance available to all families",Democratic,,31,,-20,39,60,60,39,60,0.75,"Some Democrats in Congress have proposed spending $188 billion a year to provide a $300 per month cash benefit to families with children under the age of 6, and a $250 per month cash benefit to families with children between the ages of 6 and 18. This benefit would be available to all families, regardless of income.","it would cut child poverty in half while helping families afford food, clothes, childcare, and other necessities.","raising children is expensive, and working families deserve some additional support.",it would cost taxpayers hundreds of billions at a time when inflation and the national debt are already too high.,"welfare programs should have work requirements and income limits, which this policy doesn't.","it would cut child poverty in half while helping families afford food, clothes, childcare, and other necessities.","raising children is expensive, and working families deserve some additional support.",it would cost taxpayers hundreds of billions at a time when inflation and the national debt are already too high.,"welfare programs should have work requirements and income limits, which this policy doesn't.",-20.20%,39.90%,60.10%,60.10%,39.90%,60.10%
Increase refugee admissions,Democratic,,109,,-32,33,66,66,33,66,0.5,"Some Democrats in Congress have proposed a bill that would increase the number of refugees allowed to come to America. Under this bill, the number of refugees allowed to come to America each year would be increased from 15,000 a year to 125,000 a year.",turning away people fleeing violence and persecution in their home countries is wrong.,refugees are hardworking and admitting more will make our country stronger by creating jobs and growing our economy.,we can't properly vet so many refugees and we should focus on helping American citizens first.,that refugees are more likely to commit crimes than Americans are and this will make our communities less safe.,turning away people fleeing violence and persecution in their home countries is wrong.,refugees are hardworking and admitting more will make our country stronger by creating jobs and growing our economy.,we can't properly vet so many refugees and we should focus on helping American citizens first.,that refugees are more likely to commit crimes than Americans are and this will make our communities less safe.,-32.60%,33.70%,66.30%,66.30%,33.70%,66.30%
Block Texas abortion law,Democratic,,21,,8,54,46,54,54,46,0.5,"Some Democrats in Congress have proposed a bill that would block a recent Texas law from being enforced. Under the new Texas law, abortion is banned after six weeks of pregnancy, and private citizens are allowed to bring civil law suits against anyone who assists a pregnant woman seeking an abortion in violation of the ban for $10,000. Under the new bill Democrats are proposing, this Texas law would be blocked from being enforced.
","it's not right to ban abortion after six weeks, before most women even know they're pregnant.","reproductive rights must be protected, not threatened with lawsuits and vigilante justice.",states should be free to make their own laws about abortion.,"abortion is wrong, and the Texas law provides important protections for unborn life.","it's not right to ban abortion after six weeks, before most women even know they're pregnant.","reproductive rights must be protected, not threatened with lawsuits and vigilante justice.",states should be free to make their own laws about abortion.,"abortion is wrong, and the Texas law provides important protections for unborn life.",8.00%,54.00%,46.00%,54.00%,54.00%,46.00%
Restore affirmative action in college admissions,Democratic,,180,,-25,37,62,62,37,62,0.75,"Some Democrats in Congress have proposed a bill that would restore the right of colleges to use “affirmative action” programs in their admissions decisions. Under this bill, public and private colleges would once again be allowed to consider the race of an applicant when deciding whether to admit them. 

",it helps overcome systemic barriers and creates opportunities for underrepresented minorities.,that a diverse student body strengthens education for everyone.,it's not fair to discriminate against students who earn top scores just because they are white or Asian.,"admissions should be based only on merit, not on race.",it helps overcome systemic barriers and creates opportunities for underrepresented minorities.,that a diverse student body strengthens education for everyone.,it's not fair to discriminate against students who earn top scores just because they are white or Asian.,"admissions should be based only on merit, not on race.",-25.60%,37.20%,62.80%,62.80%,37.20%,62.80%
Ban transgender people from the military,Republican,,20,,-1,50,49,50,49,50,0.75,"Some Republicans in the Trump administration are proposing to ban transgender people from serving openly in the military. Under this policy, the Trump administration will ban any trans person from trying to enlist in the military and ban already enlisted troops from receiving gender-affirming care while in the military.",that it discriminates against transgender Americans and denies them necessary medical care.,that banning trans people from serving openly in the military is a violation of their civil rights and fails to recognize that they can serve the military as effectively as their peers.,it will undermine military readiness and efficacy.,Republicans support this policy because allowing trans people to serve openly may undermine military readiness and cohesion because of the specific medical and psychological needs associated with gender transition.,it will undermine military readiness and efficacy.,Republicans support this policy because allowing trans people to serve openly may undermine military readiness and cohesion because of the specific medical and psychological needs associated with gender transition.,that it discriminates against transgender Americans and denies them necessary medical care.,that banning trans people from serving openly in the military is a violation of their civil rights and fails to recognize that they can serve the military as effectively as their peers.,-1.20%,50.60%,49.40%,50.60%,49.40%,50.60%
"Increase STEM visas from 75,000 a year to 150,000",Democratic,,114,,-12,43,56,56,43,56,0.5,"Some Democrats in Congress have proposed increasing the number of green cards available to immigrants with high value skills in the science and technology industry from 75,000 to 150,000 per year. Under this bill, more non-citizens who are skilled at math, engineering, science, and technology would be allowed to come to America and legally work for U.S. companies.",that increasing the number of high skilled workers will boost our economy and create jobs.,that bringing top science and technology students into the American economy will help America compete with China and ensure our economy remains the most advanced in the world.,we have already had far too much immigration in recent years and we need to prioritize Americans over foreign workers.,that letting more immigrants into our country will cost hard working Americans their jobs.,that increasing the number of high skilled workers will boost our economy and create jobs.,that bringing top science and technology students into the American economy will help America compete with China and ensure our economy remains the most advanced in the world.,we have already had far too much immigration in recent years and we need to prioritize Americans over foreign workers.,that letting more immigrants into our country will cost hard working Americans their jobs.,-12.40%,43.80%,56.20%,56.20%,43.80%,56.20%
Abolish the police,Democratic,,5,,-64,17,82,82,17,82,0.25,"Some Democrats in Congress have proposed abolishing the police. Under this bill, communities would no longer have police departments or police officers to prevent crime. The money saved from abolishing the police would be spent on expanding social services. 
","policing in America is fundamentally broken and disproportionately harms communities of color, and resources would better serve public safety through mental health services and poverty reduction.","that by redirecting spending on policing to public services, this bill will lower poverty, address the root causes of crime, and reduce criminal activity.","that with crime rising in recent years, now is not the time to abolish the police. They say the police keep us safe, and abolishing them will increase violence.",that abolishing the police will mean there are no cops to prevent and respond to crimes. They say this will increase the crime rate and make our neighborhoods less safe.,"policing in America is fundamentally broken and disproportionately harms communities of color, and resources would better serve public safety through mental health services and poverty reduction.","that by redirecting spending on policing to public services, this bill will lower poverty, address the root causes of crime, and reduce criminal activity.","that with crime rising in recent years, now is not the time to abolish the police. They say the police keep us safe, and abolishing them will increase violence.",that abolishing the police will mean there are no cops to prevent and respond to crimes. They say this will increase the crime rate and make our neighborhoods less safe.,-64.40%,17.80%,82.20%,82.20%,17.80%,82.20%
Create a 3 year clock for environmental review for new infrastructure projects,Republican,,32,,11,44,55,55,55,44,0.5,"Some Republicans in the Trump administration have proposed reforming the building process for new federal infrastructure projects. Under this bill, government infrastructure projects would be limited to spending three years reviewing the environmental impacts of a project before starting to build. Lawsuits that delay new infrastructure projects would be limited to 3 years as well.",letting the government cut corners could lead to dangerous consequences for local communities and the environment.,"that it undermines local control, limiting the ability of communities to determine what is built near them or to ensure projects are safe.","America's infrastructure is crumbling, and endless reviews and lawsuits delay critical projects like bridges and public transit that would benefit communities and create jobs.",reasonable time limits on reviews would lower costs while allowing America to build more infrastructure more quickly.,"America's infrastructure is crumbling, and endless reviews and lawsuits delay critical projects like bridges and public transit that would benefit communities and create jobs.",reasonable time limits on reviews would lower costs while allowing America to build more infrastructure more quickly.,letting the government cut corners could lead to dangerous consequences for local communities and the environment.,"that it undermines local control, limiting the ability of communities to determine what is built near them or to ensure projects are safe.",11.60%,44.20%,55.80%,55.80%,55.80%,44.20%
Ban partisan gerrymandering,Democratic,,18,,10,55,44,55,55,44,0.5,"Some Democrats in Congress have proposed making the Congressional redistricting process non-partisan. Under this policy, independent commissions would be established in each state to draw congressional district maps, preventing both Democratic and Republican politicians from creating districts that advantage themselves.",we shouldn’t let politicians choose their own voters. Independent commissions will help ensure that our elections are fair.,"that non partisan redistricting would make elections more competitive, and help ensure every voter has a say in who represents them.","so-called ""independent"" commissions would be dominated by liberal academics and bureaucrats who would draw maps favoring Democrats.",Democrats just want a redistricting process that advantages them. They say this bill is just a power grab by Democrats.,we shouldn’t let politicians choose their own voters. Independent commissions will help ensure that our elections are fair.,"that non partisan redistricting would make elections more competitive, and help ensure every voter has a say in who represents them.","so-called ""independent"" commissions would be dominated by liberal academics and bureaucrats who would draw maps favoring Democrats.",Democrats just want a redistricting process that advantages them. They say this bill is just a power grab by Democrats.,10.80%,55.40%,44.60%,55.40%,55.40%,44.60%
Expand Medicare prescription drug pricing to 25 drugs,Democratic,,71,,32,66,33,66,66,33,0.75,"Some Democrats in Congress have proposed expanding Medicare's prescription drug negotiation program. Under this policy, the government would increase the number of drugs Medicare can negotiate pricing for from 10 to 25 of the most expensive medications.",it will lower drug costs for more seniors and save billions in healthcare spending while ensuring pharmaceutical companies can't price-gouge vulnerable Americans.,that pharmaceutical companies have exploited americans for too long and that everyone from Bernie Sanders to Donald Trump recognizes the need for action to reduce prescription drug prices.,"expanded price controls will lead pharmaceutical companies to cut research spending and move operations overseas, resulting in fewer medical breakthroughs.","market competition, not government mandates, is the best way to lower drug prices while maintaining innovation.",it will lower drug costs for more seniors and save billions in healthcare spending while ensuring pharmaceutical companies can't price-gouge vulnerable Americans.,that pharmaceutical companies have exploited americans for too long and that everyone from Bernie Sanders to Donald Trump recognizes the need for action to reduce prescription drug prices.,"expanded price controls will lead pharmaceutical companies to cut research spending and move operations overseas, resulting in fewer medical breakthroughs.","market competition, not government mandates, is the best way to lower drug prices while maintaining innovation.",32.80%,66.40%,33.60%,66.40%,66.40%,33.60%
"Expand Medicare to cover dental, vision, and hearing",Democratic,,72,,30,65,34,65,65,34,0.75,"Some Democrats in Congress have proposed spending $35 billion a year to expand the benefits offered by the Medicare program, which provides health insurance to Americans over the age of 65. Under this policy, Medicare would begin covering the costs of dental care, vision assistance, and hearing aids for senior citizens.

",it will improve the health and quality of life for millions of seniors who currently struggle to afford these essential healthcare services.,"that seniors have paid into Medicare their entire working lives, and they deserve to have their healthcare needs provided for.",it would add hundreds of billions to the deficit while expanding Medicare at a time when the program already faces serious financial challenges.,it represents another expensive government expansion that America cannot afford.,it will improve the health and quality of life for millions of seniors who currently struggle to afford these essential healthcare services.,"that seniors have paid into Medicare their entire working lives, and they deserve to have their healthcare needs provided for.",it would add hundreds of billions to the deficit while expanding Medicare at a time when the program already faces serious financial challenges.,it represents another expensive government expansion that America cannot afford.,30.40%,65.20%,34.80%,65.20%,65.20%,34.80%
